name	energy	contrast	homogenity	correlation	variance	entropy	pathology
patho_19.bmp	0.0008711739123617755	72.77187486211015	0.15844697252533693	0.0002129681536595588	4680.559039135098	7.42743771634041	1
patho_25.bmp	0.000783263646429123	45.610424191295074	0.19620496869360338	0.000273904347205206	3650.251108785115	7.495161507138138	1
patho_24.bmp	0.0016757407289857127	23.925344773318038	0.24501976346994225	0.00042092835113484336	2358.0071631148126	6.75319807201163	1
patho_18.bmp	0.0009416464381728345	58.755883461683574	0.1658327511575756	0.0003304327993862243	2999.7430490356946	7.270025992039337	1
patho_20.bmp	0.0010981471423464379	64.88754709689901	0.16428157206033034	0.00014003631485058087	7103.430145998725	7.119286932558255	1
patho_21.bmp	0.0006091241673639798	93.17362555720732	0.14155729262729017	0.0002917769509904427	3417.0181333539267	7.678866985119299	1
patho_23.bmp	0.00250192996805814	19.29749035277381	0.2719458343356993	0.0012133665542601424	813.6729890127549	6.454197260198237	1
patho_22.bmp	0.0010266921159159121	76.01927690198757	0.14699024506504413	0.0002595946757943907	3832.5246911231457	7.192552122724892	1
patho_3.bmp	0.0006114675686887657	145.81609223183617	0.10866686475373313	0.0003736831013500364	2599.5843347576097	7.718169062032139	1
patho_2.bmp	0.000315914240637485	308.55998995083144	0.08462270343561729	0.00013969079909587363	7010.515395000899	8.421204056183655	1
patho_1.bmp	0.0003269683949367735	2557.741152053601	0.0963255174021978	0.0001380762501409513	5604.302669621346	8.596607472092286	1
patho_5.bmp	0.0004408212427669918	202.44360260377962	0.09428163597642156	0.00012655592989709185	7832.295194898096	7.975616168273301	1
patho_4.bmp	0.00043081885843081387	216.60283304498358	0.106451678107066	0.00014770821468287307	6721.859074113693	7.981323392146264	1
patho_6.bmp	0.0006965928253674021	94.85838744988408	0.1492620412432212	0.0005236815542511119	1861.8082089160712	7.67016759688349	1
patho_7.bmp	0.0010328694218820756	58.770450482537186	0.1921565920688375	0.0007645729878752559	1276.9160320859892	7.304060617877685	1
patho_9.bmp	0.0005830986227539391	87.99040596708944	0.14828710172100495	0.00024060461774955336	4110.543055396809	7.8143117980438594	1
patho_8.bmp	0.00875406636991813	8013.07188707463	0.15628656665765106	5.642063721294708e-05	11758.208053764387	7.718917126983371	1
patho_13.bmp	0.0010336094143384286	62.670649366812796	0.16790565782837835	0.00011714554265539156	8506.996038529942	7.258478574233508	1
patho_12.bmp	0.000957846361028754	57.48781632432034	0.1653178163693333	0.00027627764983018143	3593.452667782418	7.285248558434526	1
patho_10.bmp	0.000827083777471973	99.46573848325478	0.14196987782973383	0.00024911848403660436	3976.8232211828345	7.449682156961574	1
patho_11.bmp	0.0006477473453011328	63.01960855055507	0.16074730139443563	0.0003603982455502903	2754.208716819964	7.662036999622183	1
patho_15.bmp	0.001064524143243726	58.904500381388345	0.16548046132183053	0.0002763366487723779	3601.6894220314875	7.148602652006118	1
patho_14.bmp	0.0008830232832510447	61.97770233070299	0.15717529802584113	0.00031421869722135536	3157.384909398473	7.34864323455736	1
patho_16.bmp	0.0008866368683034366	67.3739661383893	0.16202341099762063	0.00013957131704179506	7134.143389968208	7.430604097720852	1
patho_17.bmp	0.0009175223896310773	64.17077155824512	0.15365237658818487	0.0006153935663369844	1596.261406283053	7.288885930541591	1
norma_19.bmp	0.0008561560848963637	95.13885560215654	0.13345835095981118	0.00014592501311871118	6802.020567196934	7.3110920256237355	0
norma_25.bmp	0.0015194061014709654	72.86560708178216	0.16405723897541358	0.00018131034155446829	5491.610354209644	6.809251338428987	0
norma_24.bmp	0.002038092495675323	36.54032913449814	0.19622216072984927	0.00031049327898224893	3203.5510994039037	6.480818467767098	0
norma_18.bmp	0.0018541249132054032	49.84058988764055	0.17261280348243355	0.0003532347616821094	2802.381115927998	6.569943534787123	0
norma_20.bmp	0.0012225368046275573	54.45293953747561	0.17631638680908793	0.0001946389137546575	5102.585736559324	7.021632728904963	0
norma_21.bmp	0.001679047701579238	49.174153615305414	0.1795253583713254	0.00024641567996896665	4046.2489327061003	6.761176683237876	0
norma_23.bmp	0.0006689550996017039	91.39442212890303	0.14759243801829627	0.00012426325820806162	7971.228401299064	7.624513482238125	0
norma_22.bmp	0.0010332107002214244	78.46134845851266	0.14804830522950396	0.00013217922753211723	7543.279028630852	7.1767870708194	0
norma_3.bmp	0.0013947227653149812	1777.0002905287618	0.16164986312564966	0.00025680919515382874	1520.5465117823355	6.93527589552149	0
norma_2.bmp	0.0010332309797268077	301.7575314104505	0.1838630215825036	0.0009967388837423517	810.3763792226057	7.276590194953139	0
norma_1.bmp	0.0008985909741025675	170.21563740119979	0.13054116195092774	0.001066454987093644	843.7716136891096	7.337839781264183	0
norma_5.bmp	0.001127830648204223	43.597581626713534	0.19131111282204874	0.0009756903158370432	1004.8449006762062	7.108934839206224	0
norma_4.bmp	0.0020651460605994438	781.1742050228434	0.21054975458335917	0.0006063304783944986	667.23244386808	6.518429062947303	0
norma_6.bmp	0.0015712347984390058	422.2778840602681	0.22107335333351028	0.0009460786457608153	753.1066514223413	6.922851105974472	0
norma_7.bmp	0.0009251431532344049	177.4901443474041	0.1339032194995727	0.0010802217972209482	830.5448967886172	7.320913730916938	0
norma_9.bmp	0.001013146647864632	60.286434186655896	0.15850900848967361	0.00014950085277074904	6677.168367354955	7.206077067250757	0
norma_8.bmp	0.001275738887284377	1241.1913119332896	0.1593452702354132	0.0004047595822297916	1128.207656306458	6.940332020974135	0
norma_13.bmp	0.0008636360460296978	99.80976349302715	0.12739211438717937	0.00015034163554990436	6617.302739400957	7.342178926280633	0
